,sparse_ratio,Run,Extinguished,On Fire,Step
246,0.16666666666666666,246,234,0.9996969696967014,127
247,0.16666666666666666,247,251,0.998888888888621,121
248,0.16666666666666666,248,155,0.9996969696967014,128
249,0.16666666666666666,249,223,0.9996969696967014,128
250,0.20833333333333331,250,149,0.9997979797977115,137
251,0.20833333333333331,251,192,0.9994949494946813,129
252,0.20833333333333331,252,311,0.9997979797977115,133
253,0.20833333333333331,253,226,0.9994949494946813,128
254,0.20833333333333331,254,182,0.9989898989896311,126
255,0.20833333333333331,255,241,0.9995959595956914,134
256,0.20833333333333331,256,253,0.9995959595956914,134
257,0.20833333333333331,257,196,0.9995959595956914,127
258,0.20833333333333331,258,218,0.9992929292926612,118
259,0.20833333333333331,259,267,0.9983838383835708,129
260,0.20833333333333331,260,258,0.9995959595956914,136
261,0.20833333333333331,261,221,0.9998989898987215,121
262,0.20833333333333331,262,270,0.9996969696967014,121
263,0.20833333333333331,263,272,0.9991919191916512,126
264,0.20833333333333331,264,227,0.9993939393936713,132
265,0.20833333333333331,265,176,0.9997979797977115,130
266,0.20833333333333331,266,250,0.9998989898987215,129
267,0.20833333333333331,267,224,0.9992929292926612,130
268,0.20833333333333331,268,246,0.9994949494946813,130
269,0.20833333333333331,269,263,0.9973737373734703,129
270,0.20833333333333331,270,215,0.9996969696967014,126
271,0.20833333333333331,271,147,0.9997979797977115,128
272,0.20833333333333331,272,169,0.9995959595956914,126
273,0.20833333333333331,273,256,0.9991919191916512,129
274,0.20833333333333331,274,303,0.9994949494946813,132
275,0.20833333333333331,275,225,0.9978787878785206,121
276,0.20833333333333331,276,221,0.9993939393936713,126
277,0.20833333333333331,277,202,0.9995959595956914,134
278,0.20833333333333331,278,209,0.9996969696967014,126
279,0.20833333333333331,279,248,0.9996969696967014,129
280,0.20833333333333331,280,306,0.9992929292926612,126
281,0.20833333333333331,281,252,0.9997979797977115,130
282,0.20833333333333331,282,243,0.9992929292926612,128
283,0.20833333333333331,283,185,0.9991919191916512,130
284,0.20833333333333331,284,199,0.9989898989896311,122
285,0.20833333333333331,285,201,0.9996969696967014,134
286,0.20833333333333331,286,229,0.9994949494946813,121
287,0.20833333333333331,287,224,0.9993939393936713,129
288,0.20833333333333331,288,208,0.9970707070704402,128
289,0.20833333333333331,289,190,0.9989898989896311,123
