,steps_to_extinguishment,Run,Extinguished,On Fire,Step
52,2.0,52,131,0.9997979797977115,139
53,2.0,53,104,0.9998989898987215,145
54,2.0,54,80,0.9993939393936713,132
55,2.0,55,110,0.9991919191916512,138
56,2.0,56,150,0.9993939393936713,134
57,2.0,57,124,0.9995959595956914,146
58,2.0,58,110,0.9997979797977115,144
59,2.0,59,80,0.9997979797977115,133
60,2.0,60,78,0.9997979797977115,144
61,2.0,61,91,0.9998989898987215,135
62,2.0,62,90,0.9998989898987215,135
63,2.0,63,83,0.9996969696967014,138
64,2.0,64,86,0.9996969696967014,145
65,2.0,65,124,0.9996969696967014,134
66,2.0,66,114,0.9997979797977115,141
67,2.0,67,115,0.9995959595956914,142
68,2.0,68,96,0.9996969696967014,138
69,2.0,69,62,0.9995959595956914,140
70,2.0,70,118,0.9994949494946813,143
71,2.0,71,99,0.9997979797977115,140
72,2.0,72,139,0.9998989898987215,134
73,2.0,73,115,0.9995959595956914,144
74,2.0,74,82,0.9996969696967014,148
75,2.0,75,76,0.9995959595956914,141
76,2.0,76,107,0.9995959595956914,143
77,2.0,77,102,0.9993939393936713,142
78,2.0,78,114,0.9995959595956914,138
79,2.0,79,156,0.9998989898987215,131
80,2.0,80,113,0.9996969696967014,133
81,2.0,81,136,0.9993939393936713,143
82,2.0,82,99,0.9997979797977115,136
83,2.0,83,119,0.9996969696967014,135
84,2.0,84,137,0.9995959595956914,135
85,2.0,85,79,0.9996969696967014,138
86,2.0,86,112,0.9996969696967014,144
87,2.0,87,107,0.9995959595956914,145
88,2.0,88,116,0.9995959595956914,131
89,2.0,89,111,0.9995959595956914,147
90,2.0,90,116,0.9994949494946813,143
91,2.0,91,114,0.9994949494946813,138
92,2.0,92,96,0.9991919191916512,138
93,2.0,93,110,0.9996969696967014,142
94,2.0,94,115,0.9992929292926612,138
95,2.0,95,81,0.9989898989896311,131
96,2.0,96,96,0.9996969696967014,143
97,2.0,97,110,0.9990909090906411,143
98,2.0,98,95,0.9997979797977115,143
99,2.0,99,108,0.9991919191916512,139
100,3.0,100,43,0.9996969696967014,137
101,3.0,101,32,0.9996969696967014,134
102,3.0,102,31,0.9995959595956914,140
103,3.0,103,52,0.9993939393936713,134
104,3.0,104,36,0.9996969696967014,140
105,3.0,105,47,0.9992929292926612,129
106,3.0,106,32,0.9994949494946813,136
107,3.0,107,24,0.9996969696967014,135
108,3.0,108,58,0.9998989898987215,139
109,3.0,109,48,0.9997979797977115,146
110,3.0,110,40,0.9991919191916512,148
111,3.0,111,36,0.9995959595956914,137
112,3.0,112,50,0.9994949494946813,131
113,3.0,113,15,0.9993939393936713,134
114,3.0,114,35,0.9995959595956914,135
115,3.0,115,34,0.9995959595956914,138
116,3.0,116,51,0.9997979797977115,142
117,3.0,117,26,0.9996969696967014,148
118,3.0,118,29,0.9997979797977115,141
119,3.0,119,32,0.9996969696967014,138
120,3.0,120,71,0.9998989898987215,139
121,3.0,121,28,0.9992929292926612,149
122,3.0,122,30,0.9993939393936713,141
123,3.0,123,43,0.9995959595956914,137
124,3.0,124,34,0.9997979797977115,136
125,3.0,125,28,0.9992929292926612,135
126,3.0,126,34,0.9990909090906411,136
127,3.0,127,48,0.9997979797977115,140
128,3.0,128,43,0.9993939393936713,142
129,3.0,129,24,0.9996969696967014,139
130,3.0,130,43,0.9995959595956914,142
131,3.0,131,44,0.9996969696967014,141
132,3.0,132,24,0.9995959595956914,135
133,3.0,133,36,0.9993939393936713,140
134,3.0,134,32,0.9995959595956914,135
135,3.0,135,62,0.9996969696967014,139
136,3.0,136,36,0.9996969696967014,140
137,3.0,137,39,0.9996969696967014,139
138,3.0,138,54,0.9993939393936713,138
139,3.0,139,46,0.9995959595956914,133
140,3.0,140,40,0.9993939393936713,138
141,3.0,141,32,0.9996969696967014,141
142,3.0,142,32,0.9996969696967014,139
143,3.0,143,24,0.9995959595956914,126
144,3.0,144,38,0.9997979797977115,128
145,3.0,145,40,0.9995959595956914,148
146,3.0,146,18,0.9995959595956914,134
147,3.0,147,45,0.9998989898987215,150
148,3.0,148,37,0.9989898989896311,148
149,3.0,149,27,0.9995959595956914,131
150,4.0,150,16,0.9997979797977115,140
151,4.0,151,6,0.9998989898987215,138
152,4.0,152,6,0.9997979797977115,137
153,4.0,153,11,0.9996969696967014,132
154,4.0,154,16,0.9996969696967014,141
155,4.0,155,9,0.9996969696967014,136
156,4.0,156,6,0.9990909090906411,138
157,4.0,157,8,0.9996969696967014,133
158,4.0,158,7,0.9997979797977115,134
159,4.0,159,2,0.9997979797977115,139
160,4.0,160,6,0.9997979797977115,143
161,4.0,161,7,0.9998989898987215,142
162,4.0,162,7,0.9998989898987215,140
163,4.0,163,10,0.9996969696967014,144
164,4.0,164,12,0.9997979797977115,135
165,4.0,165,8,0.9992929292926612,140
166,4.0,166,7,0.9994949494946813,136
167,4.0,167,14,0.9998989898987215,148
168,4.0,168,9,0.9991919191916512,142
169,4.0,169,10,0.9998989898987215,138
