,wind_strength,Run,Extinguished,On Fire,Step
65,4.7368421052631575,65,18,17,5
66,4.7368421052631575,66,19,18,5
67,4.7368421052631575,67,21,20,6
68,4.7368421052631575,68,24,23,7
69,4.7368421052631575,69,37,36,8
70,4.7368421052631575,70,29,28,8
71,4.7368421052631575,71,26,25,7
72,4.7368421052631575,72,24,23,7
73,4.7368421052631575,73,25,24,7
74,4.7368421052631575,74,23,22,7
75,4.7368421052631575,75,24,23,6
76,4.7368421052631575,76,14,13,5
77,4.7368421052631575,77,20,19,6
78,4.7368421052631575,78,32,31,7
79,4.7368421052631575,79,32,31,8
80,6.315789473684211,80,17,16,5
81,6.315789473684211,81,14,13,5
82,6.315789473684211,82,13,12,5
83,6.315789473684211,83,19,18,6
84,6.315789473684211,84,15,14,6
85,6.315789473684211,85,17,16,6
86,6.315789473684211,86,17,16,5
87,6.315789473684211,87,22,21,6
88,6.315789473684211,88,16,15,5
89,6.315789473684211,89,13,12,4
90,6.315789473684211,90,10,9,5
91,6.315789473684211,91,16,15,5
92,6.315789473684211,92,19,18,6
93,6.315789473684211,93,16,15,5
94,6.315789473684211,94,12,11,4
95,6.315789473684211,95,19,18,5
96,6.315789473684211,96,18,17,5
97,6.315789473684211,97,13,12,5
98,6.315789473684211,98,12,11,5
99,6.315789473684211,99,16,15,5
100,7.894736842105264,100,12,11,5
101,7.894736842105264,101,14,13,5
102,7.894736842105264,102,11,10,4
103,7.894736842105264,103,13,12,5
104,7.894736842105264,104,13,12,5
105,7.894736842105264,105,15,14,6
106,7.894736842105264,106,10,9,4
107,7.894736842105264,107,19,18,6
108,7.894736842105264,108,16,15,5
109,7.894736842105264,109,12,11,4
110,7.894736842105264,110,15,14,5
111,7.894736842105264,111,10,9,4
112,7.894736842105264,112,12,11,5
113,7.894736842105264,113,16,15,5
114,7.894736842105264,114,10,9,4
115,7.894736842105264,115,12,11,5
116,7.894736842105264,116,12,11,4
117,7.894736842105264,117,8,7,4
118,7.894736842105264,118,12,11,5
119,7.894736842105264,119,13,12,5
120,9.473684210526315,120,12,11,4
121,9.473684210526315,121,13,12,5
122,9.473684210526315,122,8,7,4
123,9.473684210526315,123,13,12,5
124,9.473684210526315,124,12,11,5
125,9.473684210526315,125,12,11,5
126,9.473684210526315,126,14,13,5
127,9.473684210526315,127,13,12,5
128,9.473684210526315,128,10,9,4
129,9.473684210526315,129,11,10,4
130,9.473684210526315,130,12,11,5
131,9.473684210526315,131,12,11,5
132,9.473684210526315,132,13,12,5
133,9.473684210526315,133,9,8,4
134,9.473684210526315,134,13,12,5
135,9.473684210526315,135,13,12,4
136,9.473684210526315,136,11,10,4
137,9.473684210526315,137,11,10,4
138,9.473684210526315,138,12,11,5
139,9.473684210526315,139,12,11,5
140,11.052631578947368,140,15,14,5
141,11.052631578947368,141,9,8,5
142,11.052631578947368,142,10,9,4
143,11.052631578947368,143,12,11,5
144,11.052631578947368,144,13,12,5
145,11.052631578947368,145,10,9,4
146,11.052631578947368,146,11,10,4
147,11.052631578947368,147,16,15,6
148,11.052631578947368,148,10,9,4
149,11.052631578947368,149,9,8,4
150,11.052631578947368,150,13,12,5
151,11.052631578947368,151,10,9,5
152,11.052631578947368,152,9,8,4
153,11.052631578947368,153,10,9,5
154,11.052631578947368,154,17,16,5
155,11.052631578947368,155,9,8,4
156,11.052631578947368,156,12,11,4
157,11.052631578947368,157,10,9,4
158,11.052631578947368,158,9,8,5
159,11.052631578947368,159,12,11,5
160,12.631578947368421,160,8,7,4
161,12.631578947368421,161,8,7,3
162,12.631578947368421,162,11,10,4
163,12.631578947368421,163,9,8,4
164,12.631578947368421,164,12,11,5
165,12.631578947368421,165,8,7,3
166,12.631578947368421,166,8,7,4
167,12.631578947368421,167,8,7,5
168,12.631578947368421,168,8,7,4
169,12.631578947368421,169,8,7,4
170,12.631578947368421,170,12,11,5
171,12.631578947368421,171,10,9,4
172,12.631578947368421,172,8,7,4
173,12.631578947368421,173,9,8,4
174,12.631578947368421,174,11,10,5
175,12.631578947368421,175,15,14,5
176,12.631578947368421,176,8,7,4
177,12.631578947368421,177,10,9,5
