,truck_max_speed,Run,Extinguished,On Fire,Step
215,5,215,418,0.9998989898987215,135
216,5,216,387,0.9995959595956914,144
217,5,217,294,0.9993939393936713,138
218,5,218,348,0.9992929292926612,137
219,5,219,342,0.9994949494946813,137
220,5,220,300,0.9992929292926612,150
221,5,221,254,0.9997979797977115,140
222,5,222,257,0.9996969696967014,140
223,5,223,382,0.9990909090906411,146
224,5,224,401,0.9993939393936713,142
225,5,225,344,0.9995959595956914,138
226,5,226,362,0.9990909090906411,140
227,5,227,320,0.9992929292926612,134
228,5,228,352,0.9994949494946813,142
229,5,229,335,0.9997979797977115,146
230,5,230,418,0.9990909090906411,144
231,5,231,353,0.9993939393936713,137
232,5,232,408,0.9992929292926612,137
233,5,233,301,0.9995959595956914,141
234,5,234,268,0.9998989898987215,136
235,5,235,303,0.9997979797977115,142
236,5,236,279,0.9996969696967014,140
237,5,237,342,0.9994949494946813,145
238,5,238,364,0.9997979797977115,136
239,5,239,358,0.9996969696967014,139
240,5,240,354,0.9997979797977115,129
241,5,241,390,0.9996969696967014,141
242,5,242,273,0.9997979797977115,136
243,5,243,414,0.9996969696967014,141
244,5,244,478,0.9993939393936713,146
245,5,245,375,0.9996969696967014,145
246,5,246,357,0.9991919191916512,149
247,5,247,250,0.9997979797977115,141
248,5,248,264,0.9994949494946813,145
249,5,249,336,0.9994949494946813,140
250,6,250,397,0.9989898989896311,139
251,6,251,383,0.9994949494946813,146
252,6,252,331,0.9995959595956914,140
253,6,253,305,0.9992929292926612,146
254,6,254,346,0.9996969696967014,147
255,6,255,344,0.9995959595956914,136
256,6,256,306,0.9997979797977115,134
257,6,257,348,0.9996969696967014,139
258,6,258,258,0.9993939393936713,144
259,6,259,244,0.9995959595956914,145
260,6,260,403,0.9994949494946813,140
261,6,261,437,0.998787878787611,143
262,6,262,439,0.9993939393936713,145
263,6,263,407,0.9998989898987215,132
264,6,264,336,0.9993939393936713,156
265,6,265,401,0.9996969696967014,135
266,6,266,354,0.9995959595956914,141
267,6,267,272,0.9994949494946813,136
268,6,268,325,0.9996969696967014,141
269,6,269,236,0.9998989898987215,140
270,6,270,202,0.9994949494946813,145
271,6,271,308,0.9992929292926612,143
272,6,272,347,0.9997979797977115,137
273,6,273,340,0.9993939393936713,131
274,6,274,273,0.9991919191916512,140
275,6,275,306,0.9994949494946813,144
276,6,276,296,0.9991919191916512,138
277,6,277,266,0.9993939393936713,133
278,6,278,289,0.9990909090906411,141
279,6,279,214,0.9996969696967014,142
280,6,280,419,0.9990909090906411,138
281,6,281,428,0.9997979797977115,146
282,6,282,322,0.9996969696967014,143
283,6,283,378,0.9993939393936713,143
284,6,284,442,0.9992929292926612,137
285,6,285,174,0.9997979797977115,137
286,6,286,471,0.9996969696967014,138
287,6,287,311,0.9993939393936713,136
288,6,288,390,0.9997979797977115,141
289,6,289,318,0.9994949494946813,161
290,6,290,268,0.9996969696967014,149
291,6,291,295,0.9994949494946813,137
292,6,292,265,0.9994949494946813,143
293,6,293,378,0.9996969696967014,136
294,6,294,454,0.9993939393936713,148
295,6,295,461,0.998787878787611,141
296,6,296,352,0.9995959595956914,143
297,6,297,310,0.9993939393936713,137
298,6,298,466,0.9995959595956914,149
299,6,299,323,0.9994949494946813,136
300,7,300,296,0.9993939393936713,145
301,7,301,302,0.9994949494946813,140
302,7,302,263,0.9995959595956914,152
303,7,303,256,0.9992929292926612,135
304,7,304,408,0.9992929292926612,131
305,7,305,304,0.9994949494946813,139
306,7,306,228,0.9996969696967014,137
307,7,307,390,0.9994949494946813,141
308,7,308,390,0.9993939393936713,143
309,7,309,441,0.9997979797977115,155
310,7,310,244,0.9992929292926612,137
311,7,311,337,0.9998989898987215,149
312,7,312,386,0.9989898989896311,138
313,7,313,401,0.9995959595956914,143
314,7,314,310,0.9995959595956914,151
315,7,315,443,0.9998989898987215,147
316,7,316,339,0.9996969696967014,139
317,7,317,232,0.9995959595956914,133
318,7,318,411,0.9996969696967014,129
319,7,319,392,0.9997979797977115,139
320,7,320,278,0.9995959595956914,141
321,7,321,414,0.9996969696967014,137
322,7,322,272,0.9997979797977115,152
323,7,323,268,0.998787878787611,133
324,7,324,339,0.9997979797977115,140
325,7,325,274,0.9994949494946813,137
326,7,326,439,0.9984848484845809,146
327,7,327,400,0.9995959595956914,147
328,7,328,333,0.9993939393936713,140
329,7,329,301,0.9989898989896311,146
330,7,330,452,0.9992929292926612,145
331,7,331,225,0.9998989898987215,135
332,7,332,267,0.9995959595956914,143
333,7,333,474,0.9996969696967014,135
334,7,334,323,0.9990909090906411,133
335,7,335,278,0.9993939393936713,134
336,7,336,371,0.9995959595956914,145
337,7,337,377,0.9992929292926612,142
338,7,338,368,0.9996969696967014,150
339,7,339,337,0.9994949494946813,144
340,7,340,346,0.9994949494946813,146
341,7,341,529,0.9996969696967014,156
342,7,342,455,0.9994949494946813,142
343,7,343,384,0.9991919191916512,143
344,7,344,397,0.9994949494946813,140
345,7,345,386,0.9998989898987215,135
346,7,346,415,0.9993939393936713,137
347,7,347,316,0.9995959595956914,131
348,7,348,368,0.9996969696967014,137
349,7,349,341,0.9995959595956914,131
350,8,350,350,0.9995959595956914,141
351,8,351,412,0.9996969696967014,142
352,8,352,232,0.9997979797977115,144
353,8,353,342,0.998888888888621,151
354,8,354,459,0.9994949494946813,146
355,8,355,337,0.9992929292926612,137
356,8,356,418,0.9990909090906411,132
357,8,357,271,0.9995959595956914,147
358,8,358,370,0.9996969696967014,140
359,8,359,441,0.9996969696967014,143
360,8,360,427,0.9992929292926612,139
361,8,361,565,0.9996969696967014,142
362,8,362,440,0.9995959595956914,137
363,8,363,295,0.9993939393936713,138
364,8,364,346,0.9997979797977115,146
365,8,365,369,0.9994949494946813,137
366,8,366,332,0.9998989898987215,145
367,8,367,431,0.9994949494946813,149
368,8,368,366,0.9996969696967014,143
369,8,369,410,0.9996969696967014,144
370,8,370,316,0.9992929292926612,137
371,8,371,236,0.998888888888621,135
372,8,372,303,0.9994949494946813,139
373,8,373,449,0.9998989898987215,143
374,8,374,343,0.9994949494946813,144
375,8,375,292,0.9985858585855909,140
376,8,376,263,0.9996969696967014,139
